Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
2713,2711,6/6/2006,Sergeant,25,U.S. Army,Hostile,hostile fire,Ramadi,Munford,Alabama,US,16958
2714,2714,6/6/2006,Sergeant,23,U.S. Marine,Hostile,hostile fire,Zaidon,Mentor,Ohio,US,16958
2715,2717,6/7/2006,2nd Lieutenant,23,U.S. Army,Hostile,hostile fire - small arms fire,Mosul,Edwards,Colorado,US,16959
2716,2716,6/7/2006,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Winnemucca,Nevada,US,16959
2717,2715,6/7/2006,1st Lieutenant,32,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Knoxville,Tennessee,US,16959
2718,2719,6/8/2006,Sergeant 1st Class,31,U.S. Army National Guard,Hostile,hostile fire - IED attack,Al Kut,Canton,Ohio,US,16960
2719,2720,6/8/2006,Sergeant 1st Class,31,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Meridian,Kentucky,US,16960
2720,2718,6/8/2006,Specialist,20,U.S. Army,Hostile,hostile fire - IED attack,Buhriz,Rialto,California,US,16960
2721,2725,6/9/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Al Qaim,Los Angeles,California,US,16961
2722,2722,6/9/2006,Lance Corporal,19,U.S. Marine,Hostile,hostile fire - IED attack,Al Qaim,Clarks,Nebraska,US,16961
2723,2724,6/9/2006,Seaman,22,U.S. Navy,Hostile,hostile fire - mine,Al Qaim,Donalsonville,Georgia,US,16961
2724,2723,6/9/2006,Private 1st Class,22,U.S. Army Reserve,Hostile,hostile fire - IED attack,Diwaniyah,Plymouth,Nebraska,US,16961
2725,2721,6/9/2006,Sergeant,35,U.S. Army Reserve,Hostile,hostile fire - IED attack,Kirkuk,Bronx,New York,US,16961
2726,2726,6/14/2006,Corporal,20,U.S. Marine,Hostile,hostile fire - small arms fire,Al Anbar Province,Hemet,California,US,16966
2727,2727,6/15/2006,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Minot,North Dakota,US,16967
2728,2731,6/16/2006,Private,23,U.S. Army,Hostile,hostile fire,Baghdad,San Marcos,Texas,US,16968
2729,2730,6/16/2006,Private 1st Class,25,U.S. Army,Hostile,hostile fire,Baghdad,Madras,Oregon,US,16968
2730,2728,6/16/2006,Specialist,25,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Springfield,Massachusetts,US,16968
2731,2729,6/16/2006,Specialist,22,U.S. Army National Guard,Hostile,hostile fire - IED attack,Diwaniyah,Morton,Minnesota,US,16968
2732,2732,6/17/2006,Specialist,22,U.S. Army,Hostile,hostile fire,Ramadi,Milwaukee,Oregon,US,16969
2733,2733,6/17/2006,Sergeant,23,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Willis,Texas,US,16969
2734,2737,6/20/2006,Corporal,20,U.S. Marine,Hostile,hostile fire,Al Karmah,Lancaster,California,US,16972
2735,2736,6/20/2006,Staff Sergeant,30,U.S. Marine,Hostile,hostile fire - IED attack,Al Karmah,Orange,Texas,US,16972
2736,2735,6/20/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire - IED attack,Al Karmah,Swartz Creek,Michigan,US,16972
2737,2734,6/20/2006,Private 1st Class,23,U.S. Marine,Hostile,hostile fire - IED attack,Al Karmah,Southport,North Carolina,US,16972
2738,2738,6/21/2006,Sergeant,31,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Ukiah,California,US,16973
2739,2740,6/21/2006,Sergeant,21,U.S. Army,Non-hostile,NA,Baghdad,Chicago,Illinois,US,16973
2740,2739,6/21/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - sniper fire,Ramadi,Brooklyn,New York,US,16973
